gender,dept,gt,it,wk,l1,category_zh,n_total,n_designs,n_clients,confidence,top_client,top_client_pct,top3_clients,top_iso,top_iso_pct,top_method_en,top_method_pct,ie_avg_sec,iso_count,method_count,top_machine,top_skill,top_section
BOY,RTW,BOTTOM,PANTS,WOVEN,OT,其它,123,32,5,high,GAP,86.5,GAP(86.5%) / DICKS SPORTING GOODS(9.0%) / GU(2.6%),301,89.9,Lockstitch,43.5,0.026,6,12,手工-含做記號、翻修等工段,C,前後襠游線
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,DC,繩類,122,104,11,high,GAP,29.5,GAP(29.5%) / OLD NAVY(21.2%) / DICKS SPORTING GOODS(17.4%),301,96.9,Marking,39.2,0.088,3,7,手工-含做記號、翻修等工段,C,繩固定大身
BOY,ACTIVE,BOTTOM,PANTS,KNIT,PS,褲合身,118,26,5,high,A & F,71.2,A & F(71.2%) / GAP(11.9%) / UNDER ARMOUR(6.8%),514,95.2,4-thread Overlock,84.7,0.037,3,6,四線拷克,B,合內長
MEN,ACTIVE,BOTTOM,SHORTS,WOVEN,BN,貼合,117,11,2,medium,DISTANCE,96.6,DISTANCE(96.6%) / TARGET(3.4%),301,100.0,Pressing,51.2,0.137,1,6,大型熱轉印機(大於或等於30cmX90cm),D,熱轉印
MEN,ACTIVE,BOTTOM,PANTS,KNIT,OT,其它,112,35,7,high,S1 DEVELOPING,37.5,S1 DEVELOPING(37.5%) / KOHLS(24.0%) / OLD NAVY(15.4%),301,76.7,Marking,37.5,0.184,6,11,手工-含做記號、翻修等工段,E,其它
BOY,RTW,BOTTOM,PANTS,WOVEN,WB,腰頭,108,35,6,high,GAP,77.6,GAP(77.6%) / ZARA(9.5%) / GU(5.2%),301,62.7,Lockstitch,34.9,0.062,5,9,手工-含做記號、翻修等工段,E,做鬆緊帶記號
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,BS,釦鎖,104,95,11,high,GAP,35.6,GAP(35.6%) / OLD NAVY(26.0%) / DICKS SPORTING GOODS(14.4%),,,Buttonhole,62.0,0.029,0,4,燙工-手燙,C,燙襯
BOY,RTW,BOTTOM,PANTS,WOVEN,LB,商標,104,35,6,high,GAP,80.8,GAP(80.8%) / ZARA(9.6%) / DICKS SPORTING GOODS(3.8%),301,98.5,Marking,55.4,0.023,2,5,平車-細針距,E,做記號
MEN,ACTIVE,BOTTOM,PANTS,KNIT,BS,釦鎖,100,76,8,high,KOHLS,38.0,KOHLS(38.0%) / OLD NAVY(21.0%) / UNDER ARMOUR(18.0%),,,Buttonhole,63.8,0.028,0,4,燙工-手燙,C,燙襯
WOMEN,RTW,BOTTOM,PANTS,WOVEN,OT,其它,97,28,8,high,GU,62.3,GU(62.3%) / KOHLS(11.4%) / TARGET(7.9%),301,93.4,Lockstitch,54.8,0.017,4,8,帶刀平車,C,腰頭游線
WOMEN,RTW,BOTTOM,PANTS,WOVEN,LO,褲口,95,47,10,high,GU,33.0,GU(33.0%) / KOHLS(21.0%) / WAL-MART-CA(10.0%),301,35.2,Marking,26.3,0.087,8,12,手工-含做記號、翻修等工段,E,壓褲口
